Class,isDecompilable,distanceToOriginal,isRecompilable,passTests
org/apache/commons/lang3/arch/Processor,true,100,false,false
org/apache/commons/lang3/arch/package-info,false,NA,false,NA
org/apache/commons/lang3/ThreadUtils,true,291,false,false
org/apache/commons/lang3/LocaleUtils,true,269,false,false
org/apache/commons/lang3/text/FormatFactory,true,0,false,NA
org/apache/commons/lang3/text/StrBuilder,true,8345,false,false
org/apache/commons/lang3/text/StrLookup,true,97,false,false
org/apache/commons/lang3/text/WordUtils,true,242,false,false
org/apache/commons/lang3/text/StrTokenizer,true,756,false,false
org/apache/commons/lang3/text/ExtendedMessageFormat,true,472,false,false
org/apache/commons/lang3/text/CompositeFormat,true,22,false,false
org/apache/commons/lang3/text/translate/UnicodeEscaper,true,33,false,false
org/apache/commons/lang3/text/translate/UnicodeUnescaper,true,19,false,false
org/apache/commons/lang3/text/translate/NumericEntityUnescaper,true,75,false,false
org/apache/commons/lang3/text/translate/EntityArrays,true,60,true,true
org/apache/commons/lang3/text/translate/LookupTranslator,true,86,false,false
org/apache/commons/lang3/text/translate/NumericEntityEscaper,true,31,false,false
org/apache/commons/lang3/text/translate/CodePointTranslator,true,9,false,false
org/apache/commons/lang3/text/translate/JavaUnicodeEscaper,true,12,false,false
org/apache/commons/lang3/text/translate/UnicodeUnpairedSurrogateRemover,true,20,false,false
org/apache/commons/lang3/text/translate/CharSequenceTranslator,true,54,false,false
org/apache/commons/lang3/text/translate/AggregateTranslator,true,41,false,false
org/apache/commons/lang3/text/translate/OctalUnescaper,true,32,false,false
org/apache/commons/lang3/text/translate/package-info,false,NA,false,NA
org/apache/commons/lang3/text/FormattableUtils,true,53,false,false
org/apache/commons/lang3/text/StrSubstitutor,true,757,false,false
org/apache/commons/lang3/text/StrMatcher,true,330,false,false
org/apache/commons/lang3/text/package-info,false,NA,false,NA
org/apache/commons/lang3/SerializationException,true,5,false,false
org/apache/commons/lang3/RegExUtils,true,101,false,false
org/apache/commons/lang3/SerializationUtils,true,392,false,false
org/apache/commons/lang3/BooleanUtils,true,582,false,false
org/apache/commons/lang3/Conversion,true,1148,false,false
org/apache/commons/lang3/BitField,true,101,false,false
org/apache/commons/lang3/Range,true,463,false,false
org/apache/commons/lang3/CharEncoding,true,11,false,false
org/apache/commons/lang3/CharSet,true,165,false,false
org/apache/commons/lang3/concurrent/TimedSemaphore,true,198,false,false
org/apache/commons/lang3/concurrent/CircuitBreaker,true,5,false,NA
org/apache/commons/lang3/concurrent/Computable,true,6,false,NA
org/apache/commons/lang3/concurrent/AtomicSafeInitializer,true,19,false,false
org/apache/commons/lang3/concurrent/ConcurrentRuntimeException,true,4,false,false
